id,created,modified,owner,assigned_scope,assigned_scope_path,extended1,extended2,extended3,extended4,extended5,extended6,extended7,extended8,extended9,extended10,extended_identity1,extended_identity2,extended_identity3,extended_identity4,extended_identity5,name,description,protected,needs_refresh,iiqlock,attributes,manager,display_name,firstname,lastname,email,manager_status,inactive,last_login,last_refresh,password,password_expiration,password_history,bundle_summary,assigned_role_summary,correlated,correlated_overridden,type,software_version,administrator,auth_lock_start,failed_auth_question_attempts,failed_login_attempts,controls_assigned_scope,certifications,activity_config,preferences,scorecard,uipreferences,attribute_meta_data,workgroup
"4028b881665992110166599243eb010b",1539101049836,1539101337903,(null),(null),(null),(null),(null),(null),(null),(null),(null),"1207599867000",(null),(null),(null),"4028b881665992110166599243eb010b","4028b881665992110166599243eb010b",(null),(null),(null),"spadmin",(null),true,false,(null),"<Attributes>
  <Map>
    <entry key=""demoDate"">
      <value>
        <Date>1207599867000</Date>
      </value>
    </entry>
    <entry key=""displayName"" value=""The Administrator""/>
    <entry key=""firstname"" value=""The""/>
    <entry key=""lastname"" value=""Administrator""/>
  </Map>
</Attributes>
",(null),"The Administrator","The","Administrator",(null),false,false,1539101106237,1539101337902,"1:ACP:4QCRKqrJU6yFlQchJOAmz5ihiEnNxEJ7YFu8t+Enwy8=",(null),(null),(null),(null),false,false,(null),(null),(null),(null),0,0,(null),(null),(null),(null),"4028b88166599300016659954936134a",(null),"<List>
  <AttributeMetaData attribute=""demoDate"" source=""$identityStringToDate""/>
  <AttributeMetaData attribute=""regionOwner"" source=""$Global Identity Attribute Rule - Region Owner""/>
  <AttributeMetaData attribute=""locationOwner"" source=""$Global Identity Attribute Rule - Location Owner""/>
</List>
",false
"4028b8816659921101665992752f02e2",1539101062447,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),"SelfRegistrationWorkGroup",(null),true,false,(null),"<Attributes>
  <Map>
    <entry key=""displayName"" value=""SelfRegistrationWorkGroup""/>
    <entry key=""systemUser"">
      <value>
        <Boolean>true</Boolean>
      </value>
    </entry>
  </Map>
</Attributes>
",(null),"SelfRegistrationWorkGroup",(null),(null),(null),false,false,(null),(null),(null),(null),(null),(null),(null),false,false,(null),(null),(null),(null),0,0,(null),(null),(null),(null),(null),(null),(null),true
"4028b88166599211016659928923034d",1539101067556,(null),"4028b881665992110166599243eb010b",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),"Top Level Managers",(null),false,false,(null),"<Attributes>
  <Map>
    <entry key=""displayName"" value=""Top Level Managers""/>
    <entry key=""email"" value=""managers@demoexample.com""/>
  </Map>
</Attributes>
",(null),"Top Level Managers",(null),(null),"managers@demoexample.com",false,false,(null),(null),(null),(null),(null),(null),(null),false,false,(null),(null),(null),(null),0,0,(null),(null),(null),"<Map>
  <entry key=""workgroupNotificationOption"">
    <value>
      <WorkgroupNotifationOption>GroupEmailOnly</WorkgroupNotifationOption>
    </value>
  </entry>
</Map>
",(null),(null),(null),true
"4028b88166599211016659928930034e",1539101067568,(null),"4028b881665992110166599243eb010b",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),"ERP Global App Owners",(null),false,false,(null),"<Attributes>
  <Map>
    <entry key=""displayName"" value=""ERP Global App Owners""/>
    <entry key=""email"" value=""ERPappowners@demoexample.com""/>
  </Map>
</Attributes>
",(null),"ERP Global App Owners",(null),(null),"ERPappowners@demoexample.com",false,false,(null),(null),(null),(null),(null),(null),(null),false,false,(null),(null),(null),(null),0,0,(null),(null),(null),"<Map>
  <entry key=""workgroupNotificationOption"">
    <value>
      <WorkgroupNotifationOption>GroupEmailOnly</WorkgroupNotifationOption>
    </value>
  </entry>
</Map>
",(null),(null),(null),true
"4028b8816659921101665992893a034f",1539101067578,(null),"4028b881665992110166599243eb010b",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),"HR_Employees App Owners",(null),false,false,(null),"<Attributes>
  <Map>
    <entry key=""displayName"" value=""HR_Employees App Owners""/>
    <entry key=""email"" value=""HRappowners@demoexample.com""/>
  </Map>
</Attributes>
",(null),"HR_Employees App Owners",(null),(null),"HRappowners@demoexample.com",false,false,(null),(null),(null),(null),(null),(null),(null),false,false,(null),(null),(null),(null),0,0,(null),(null),(null),"<Map>
  <entry key=""workgroupNotificationOption"">
    <value>
      <WorkgroupNotifationOption>GroupEmailOnly</WorkgroupNotifationOption>
    </value>
  </entry>
</Map>
",(null),(null),(null),true
"4028b881665992110166599289430350",1539101067587,(null),"4028b881665992110166599243eb010b",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),"HR_Contractors App Owners",(null),false,false,(null),"<Attributes>
  <Map>
    <entry key=""displayName"" value=""HR_Contractors App Owners""/>
    <entry key=""email"" value=""HRcontractorsappowners@demoexample.com""/>
  </Map>
</Attributes>
",(null),"HR_Contractors App Owners",(null),(null),"HRcontractorsappowners@demoexample.com",false,false,(null),(null),(null),(null),(null),(null),(null),false,false,(null),(null),(null),(null),0,0,(null),(null),(null),"<Map>
  <entry key=""workgroupNotificationOption"">
    <value>
      <WorkgroupNotifationOption>GroupEmailOnly</WorkgroupNotifationOption>
    </value>
  </entry>
</Map>
",(null),(null),(null),true
"4028b881665992110166599289520351",1539101067603,(null),"4028b881665992110166599243eb010b",(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),"Oracle_DB_Oasis App Owners",(null),false,false,(null),"<Attributes>
  <Map>
    <entry key=""displayName"" value=""Oracle_DB_Oasis App Owners""/>
    <entry key=""email"" value=""DBOasisappowners@demoexample.com""/>
  </Map>
</Attributes>
",(null),"Oracle_DB_Oasis App Owners",(null),(null),"DBOasisappowners@demoexample.com",false,false,(null),(null),(null),(null),(null),(null),(null),false,false,(null),(null),(null),(null),0,0,(null),(null),(null),"<Map>
  <entry key=""workgroupNotificationOption"">
    <value>
      <WorkgroupNotifationOption>GroupEmailOnly</WorkgroupNotifationOption>
    </value>
  </entry>
</Map>
",(null),(null),(null),true
"4028b88166599211016659928b710358",1539101068145,1539101337992,(null),(null),(null),"Americas","Regional Operations","Austin","1a2a","Global Infrastructure Manager",(null),"1207599867000",(null),(null),(null),"4028b8816659921101665992da16063d","4028b8816659921101665992da16063d",(null),(null),(null),"Mary.Johnson",(null),false,false,(null),"<Attributes>
  <Map>
    <entry key=""Department"" value=""Regional Operations""/>
    <entry key=""costcenter"">
      <value>
        <List>
          <String>R03</String>
          <String>L07</String>
        </List>
      </value>
    </entry>
    <entry key=""demoDate"">
      <value>
        <Date>1207599867000</Date>
      </value>
    </entry>
    <entry key=""displayName"" value=""Mary Johnson""/>
    <entry key=""email"" value=""Mary.Johnson@demoexample.com""/>
    <entry key=""empId"" value=""1a2a""/>
    <entry key=""firstname"" value=""Mary""/>
    <entry key=""jobtitle"" value=""Global Infrastructure Manager""/>
    <entry key=""lastname"" value=""Johnson""/>
    <entry key=""location"" value=""Austin""/>
    <entry key=""region"" value=""Americas""/>
    <entry key=""type"" value=""employee""/>
  </Map>
</Attributes>
","4028b8816659921101665992da16063d","Mary Johnson","Mary","Johnson","Mary.Johnson@demoexample.com",true,false,(null),1539101337990,"1:ACP:+yJzFnwSsWZVz5eCeWUJI1iuZMy7twpXOQCY37z+XeA=",(null),(null),"Telecommunications and Network Manager - IT, All Org Controls and Policy Access - IT, SOX Certifier Access - IT, IT Distributed Systems Manager - IT, Helpdesk Manager - IT, Oracle Administrator - IT","Global Infrastructure Manager",true,false,"employee",(null),(null),(null),0,0,(null),(null),(null),"<Map>
  <entry key=""roleAssignments"">
    <value>
      <List>
        <RoleAssignment assignmentId=""03b5b4a075a54547bc20219b9b8884c6"" date=""1539101247986"" roleId=""4028b88166599211016659929bc00440"" roleName=""Global Infrastructure Manager"" source=""Rule""/>
      </List>
    </value>
  </entry>
  <entry key=""roleDetections"">
    <value>
      <List>
        <RoleDetection assignmentIds=""03b5b4a075a54547bc20219b9b8884c6"" date=""1539101247959"" roleId=""4028b881665992110166599295d703c4"" roleName=""Telecommunications and Network Manager - IT"">
          <RoleTarget applicationId=""4028b88166599211016659928be20359"" applicationName=""Active_Directory"" displayName=""MaryJohnson"" nativeIdentity=""101"">
            <AccountItem name=""groupmbr"">
              <value>
                <Set>
                  <String>DataComm</String>
                  <String>SysAdministration</String>
                  <String>TCOMControls</String>
                  <String>Telecom</String>
                  <String>Users</String>
                </Set>
              </value>
            </AccountItem>
          </RoleTarget>
        </RoleDetection>
        <RoleDetection assignmentIds=""03b5b4a075a54547bc20219b9b8884c6"" date=""1539101247959"" roleId=""4028b881665992110166599298500411"" roleName=""All Org Controls and Policy Access - IT"">
          <RoleTarget applicationId=""4028b88166599211016659928be20359"" applicationName=""Active_Directory"" displayName=""MaryJohnson"" nativeIdentity=""101"">
            <AccountItem name=""groupmbr"">
              <value>
                <Set>
                  <String>ORG_Controls</String>
                  <String>Users</String>
                </Set>
              </value>
            </AccountItem>
          </RoleTarget>
        </RoleDetection>
        <RoleDetection assignmentIds=""03b5b4a075a54547bc20219b9b8884c6"" date=""1539101247959"" roleId=""4028b8816659921101665992982f040d"" roleName=""SOX Certifier Access - IT"">
          <RoleTarget applicationId=""4028b88166599211016659928be20359"" applicationName=""Active_Directory"" displayName=""MaryJohnson"" nativeIdentity=""101"">
            <AccountItem name=""groupmbr"">
              <value>
                <Set>
                  <String>SOX_CERT_GROUP</String>
                  <String>Users</String>
                </Set>
              </value>
            </AccountItem>
          </RoleTarget>
        </RoleDetection>
        <RoleDetection assignmentIds=""03b5b4a075a54547bc20219b9b8884c6"" date=""1539101247959"" roleId=""4028b8816659921101665992960403ca"" roleName=""IT Distributed Systems Manager - IT"">
          <RoleTarget applicationId=""4028b88166599211016659928be20359"" applicationName=""Active_Directory"" displayName=""MaryJohnson"" nativeIdentity=""101"">
            <AccountItem name=""groupmbr"">
              <value>
                <Set>
                  <String>SysAdministration</String>
                  <String>UnixAdministration</String>
                  <String>Users</String>
                  <String>WindowsAdministration</String>
                </Set>
              </value>
            </AccountItem>
          </RoleTarget>
        </RoleDetection>
        <RoleDetection assignmentIds=""03b5b4a075a54547bc20219b9b8884c6"" date=""1539101247959"" roleId=""4028b8816659921101665992966003d7"" roleName=""Helpdesk Manager - IT"">
          <RoleTarget applicationId=""4028b88166599211016659928be20359"" applicationName=""Active_Directory"" displayName=""MaryJohnson"" nativeIdentity=""101"">
            <AccountItem name=""groupmbr"">
              <value>
                <Set>
                  <String>HelpDesk</String>
                  <String>Users</String>
                </Set>
              </value>
            </AccountItem>
          </RoleTarget>
          <RoleTarget applicationId=""4028b88166599211016659928cd1035e"" applicationName=""Oracle_DB_oasis"" displayName=""MaryJohnson"" nativeIdentity=""101"">
            <AccountItem name=""HPD_Logins"" permission=""true"">
              <value>
                <List>
                  <String>create</String>
                  <String>delete</String>
                  <String>update</String>
                </List>
              </value>
            </AccountItem>
            <AccountItem name=""HPD_Reports"" permission=""true"">
              <value>
                <List>
                  <String>execute</String>
                  <String>read</String>
                </List>
              </value>
            </AccountItem>
          </RoleTarget>
        </RoleDetection>
        <RoleDetection assignmentIds=""03b5b4a075a54547bc20219b9b8884c6"" date=""1539101247959"" roleId=""4028b8816659921101665992961e03cd"" roleName=""Oracle Administrator - IT"">
          <RoleTarget applicationId=""4028b88166599211016659928be20359"" applicationName=""Active_Directory"" displayName=""MaryJohnson"" nativeIdentity=""101"">
            <AccountItem name=""groupmbr"">
              <value>
                <Set>
                  <String>DBAs</String>
                  <String>Users</String>
                </Set>
              </value>
            </AccountItem>
          </RoleTarget>
          <RoleTarget applicationId=""4028b88166599211016659928cd1035e"" applicationName=""Oracle_DB_oasis"" displayName=""MaryJohnson"" nativeIdentity=""101"">
            <AccountItem name=""Ora.Systems"" permission=""true"">
              <value>
                <List>
                  <String>create</String>
                  <String>delete</String>
                  <String>update</String>
                </List>
              </value>
            </AccountItem>
          </RoleTarget>
        </RoleDetection>
      </List>
    </value>
  </entry>
</Map>
","4028b88166599300016659954b061352",(null),"<List>
  <AttributeMetaData attribute=""email"" source=""HR_Employees:email""/>
  <AttributeMetaData attribute=""firstname"" source=""HR_Employees:firstName""/>
  <AttributeMetaData attribute=""lastname"" source=""HR_Employees:lastName""/>
  <AttributeMetaData attribute=""inactive"" source=""HR_Employees:inactiveIdentity""/>
  <AttributeMetaData attribute=""type"" source=""HR_Employees$Identity Attribute Rule - Type""/>
  <AttributeMetaData attribute=""region"" source=""HR_Employees:region""/>
  <AttributeMetaData attribute=""Department"" source=""HR_Employees:department""/>
  <AttributeMetaData attribute=""location"" source=""HR_Employees:location""/>
  <AttributeMetaData attribute=""empId"" source=""HR_Employees:employeeId""/>
  <AttributeMetaData attribute=""jobtitle"" source=""HR_Employees:jobtitle""/>
  <AttributeMetaData attribute=""demoDate"" source=""$identityStringToDate""/>
  <AttributeMetaData attribute=""costcenter"" source=""HR_Employees:costcenter""/>
  <AttributeMetaData attribute=""regionOwner"" source=""$Global Identity Attribute Rule - Region Owner""/>
  <AttributeMetaData attribute=""locationOwner"" source=""$Global Identity Attribute Rule - Location Owner""/>
  <AttributeMetaData attribute=""manager"" source=""HR_Employees:managerId""/>
</List>
",false
"4028b88166599211016659928d510361",1539101068625,1539101338021,(null),(null),(null),"Americas","Regional Operations","San Jose","1a2c",(null),(null),"1207599867000",(null),(null),(null),"4028b8816659921101665992da16063d","4028b88166599211016659928d510361",(null),(null),(null),"Patricia.Jones",(null),false,false,(null),"<Attributes>
  <Map>
    <entry key=""Department"" value=""Regional Operations""/>
    <entry key=""costcenter"">
      <value>
        <List>
          <String>R03</String>
          <String>L08</String>
        </List>
      </value>
    </entry>
    <entry key=""demoDate"">
      <value>
        <Date>1207599867000</Date>
      </value>
    </entry>
    <entry key=""displayName"" value=""Patricia Jones""/>
    <entry key=""email"" value=""Patricia.Jones@demoexample.com""/>
    <entry key=""empId"" value=""1a2c""/>
    <entry key=""firstname"" value=""Patricia""/>
    <entry key=""lastname"" value=""Jones""/>
    <entry key=""location"" value=""San Jose""/>
    <entry key=""region"" value=""Americas""/>
    <entry key=""type"" value=""employee""/>
  </Map>
</Attributes>
","4028b8816659921101665992da16063d","Patricia Jones","Patricia","Jones","Patricia.Jones@demoexample.com",true,false,(null),1539101338020,"1:ACP:DHnwvud+nReFM+iuoXjUr2lz64pJDOxGCmrhnnRoUFo=",(null),(null),"User - IT",(null),true,false,"employee",(null),(null),(null),0,0,(null),(null),(null),"<Map>
  <entry key=""roleDetections"">
    <value>
      <List>
        <RoleDetection date=""1539101151997"" roleId=""4028b88166599211016659929360037c"" roleName=""User - IT"">
          <RoleTarget applicationId=""4028b88166599211016659928be20359"" applicationName=""Active_Directory"" displayName=""PatriciaJones"" nativeIdentity=""103"">
            <AccountItem name=""groupmbr"" value=""Users""/>
          </RoleTarget>
        </RoleDetection>
      </List>
    </value>
  </entry>
</Map>
","4028b88166599300016659954bf81360",(null),"<List>
  <AttributeMetaData attribute=""email"" source=""HR_Employees:email""/>
  <AttributeMetaData attribute=""firstname"" source=""HR_Employees:firstName""/>
  <AttributeMetaData attribute=""lastname"" source=""HR_Employees:lastName""/>
  <AttributeMetaData attribute=""inactive"" source=""HR_Employees:inactiveIdentity""/>
  <AttributeMetaData attribute=""type"" source=""HR_Employees$Identity Attribute Rule - Type""/>
  <AttributeMetaData attribute=""region"" source=""HR_Employees:region""/>
  <AttributeMetaData attribute=""Department"" source=""HR_Employees:department""/>
  <AttributeMetaData attribute=""location"" source=""HR_Employees:location""/>
  <AttributeMetaData attribute=""empId"" source=""HR_Employees:employeeId""/>
  <AttributeMetaData attribute=""demoDate"" source=""$identityStringToDate""/>
  <AttributeMetaData attribute=""costcenter"" source=""HR_Employees:costcenter""/>
  <AttributeMetaData attribute=""regionOwner"" source=""$Global Identity Attribute Rule - Region Owner""/>
  <AttributeMetaData attribute=""locationOwner"" source=""$Global Identity Attribute Rule - Location Owner""/>
  <AttributeMetaData attribute=""manager"" source=""HR_Employees:managerId""/>
</List>
",false
"4028b88166599211016659928e3c0365",1539101068860,1539101338041,(null),(null),(null),"Europe","Regional Operations","London","1b2c",(null),(null),"1207599867000",(null),(null),(null),"4028b88166599300016659932fe50069","4028b88166599211016659928e3c0365",(null),(null),(null),"Amanda.Ross",(null),false,false,(null),"<Attributes>
  <Map>
    <entry key=""Department"" value=""Regional Operations""/>
    <entry key=""costcenter"">
      <value>
        <List>
          <String>R01</String>
          <String>L03</String>
        </List>
      </value>
    </entry>
    <entry key=""demoDate"">
      <value>
        <Date>1207599867000</Date>
      </value>
    </entry>
    <entry key=""displayName"" value=""Amanda Ross""/>
    <entry key=""email"" value=""Amanda.Ross@demoexample.com""/>
    <entry key=""empId"" value=""1b2c""/>
    <entry key=""firstname"" value=""Amanda""/>
    <entry key=""lastname"" value=""Ross""/>
    <entry key=""location"" value=""London""/>
    <entry key=""region"" value=""Europe""/>
    <entry key=""type"" value=""employee""/>
  </Map>
</Attributes>
","4028b88166599300016659932fe50069","Amanda Ross","Amanda","Ross","Amanda.Ross@demoexample.com",true,false,(null),1539101338040,"1:ACP:Ex5xW8RvZtFyU6zuoIuE8IZB6NEReeBblLGRDucHjxg=",(null),(null),"User - IT",(null),true,false,"employee",(null),(null),(null),0,0,(null),(null),(null),"<Map>
  <entry key=""roleDetections"">
    <value>
      <List>
        <RoleDetection date=""1539101153786"" roleId=""4028b88166599211016659929360037c"" roleName=""User - IT"">
          <RoleTarget applicationId=""4028b88166599211016659928be20359"" applicationName=""Active_Directory"" displayName=""AmandaRoss"" nativeIdentity=""179"">
            <AccountItem name=""groupmbr"" value=""Users""/>
          </RoleTarget>
        </RoleDetection>
      </List>
    </value>
  </entry>
</Map>
","4028b88166599300016659954c681362",(null),"<List>
  <AttributeMetaData attribute=""email"" source=""HR_Employees:email""/>
  <AttributeMetaData attribute=""firstname"" source=""HR_Employees:firstName""/>
  <AttributeMetaData attribute=""lastname"" source=""HR_Employees:lastName""/>
  <AttributeMetaData attribute=""inactive"" source=""HR_Employees:inactiveIdentity""/>
  <AttributeMetaData attribute=""type"" source=""HR_Employees$Identity Attribute Rule - Type""/>
  <AttributeMetaData attribute=""region"" source=""HR_Employees:region""/>
  <AttributeMetaData attribute=""Department"" source=""HR_Employees:department""/>
  <AttributeMetaData attribute=""location"" source=""HR_Employees:location""/>
  <AttributeMetaData attribute=""empId"" source=""HR_Employees:employeeId""/>
  <AttributeMetaData attribute=""demoDate"" source=""$identityStringToDate""/>
  <AttributeMetaData attribute=""costcenter"" source=""HR_Employees:costcenter""/>
  <AttributeMetaData attribute=""regionOwner"" source=""$Global Identity Attribute Rule - Region Owner""/>
  <AttributeMetaData attribute=""locationOwner"" source=""$Global Identity Attribute Rule - Location Owner""/>
  <AttributeMetaData attribute=""manager"" source=""HR_Employees:managerId""/>
</List>
",false
